country_code,permalink,category_list,funding_round_type,raised_amount_usd
AUS,pin-payments,Accounting,venture,3100000.0
AUS,polyactiva,Biotechnology,venture,9836167.0
AUS,posse,Search,venture,1500000.0
AUS,practiceignition,Accounting,venture,110000.0
AUS,pricepanda,Curated Web,venture,3000000.0
AUS,propanc,Biotechnology,venture,30000.0
AUS,prospa,Financial Services,venture,42176989.0
AUS,protagonist-therapeutics,Biotechnology,venture,4000000.0
AUS,protagonist-therapeutics,Biotechnology,venture,40000000.0
AUS,protagonist-therapeutics,Biotechnology,venture,9000000.0
AUS,protagonist-therapeutics,Biotechnology,venture,14000000.0
AUS,qrxpharma,Biotechnology,venture,500000.0
AUS,quickflix,Games,venture,10000000.0
AUS,qwilr,Software,venture,100000.0
AUS,ramp-3,Intellectual Asset Management,venture,457835.0
AUS,red-river-resources,All Markets,venture,3900000.0
AUS,redstone-resources,Clean Technology,venture,1650000.0
AUS,rezdy,Internet,venture,3000000.0
AUS,roamz,Location Based Services,venture,3500000.0
AUS,rox-resources,Clean Technology,venture,2400000.0
AUS,ruralco-holdings,Agriculture,venture,25000000.0
AUS,safetyculture,E-Commerce,venture,2100000.0
AUS,safetyculture,E-Commerce,venture,6100000.0
AUS,saluda-medical,Health and Wellness,venture,10000000.0
AUS,secret-lab,Android,venture,100000.0
AUS,secret-lab,Android,venture,1000000.0
AUS,secret-lab,Android,venture,200000.0
AUS,seeker-wireless,Advertising,venture,9060000.0
AUS,selfwealth,Financial Services,venture,4300000.0
AUS,semitech-semiconductor,Clean Energy,venture,9000000.0
AUS,sensory-networks,Software,venture,2500000.0
AUS,sensory-networks,Software,venture,6000000.0
AUS,sensory-networks,Software,venture,2500000.0
AUS,sensory-networks,Software,venture,10000000.0
AUS,shoes-of-prey,E-Commerce,venture,5500000.0
AUS,shoes-of-prey,E-Commerce,venture,3000000.0
AUS,signav-pty-ltd,Mobile,venture,1850000.0
AUS,signostics,Biotechnology,venture,4000000.0
AUS,signostics,Biotechnology,venture,5000000.0
AUS,signostics,Biotechnology,venture,35000000.0
AUS,simmesion-holdings,Simulation,venture,1900000.0
AUS,simmesion-holdings,Simulation,venture,742000.0
AUS,sino-gas-energy,Clean Technology,venture,53000000.0
AUS,smart-sparrow,Data Mining,venture,2000000.0
AUS,smart-sparrow,Data Mining,venture,10000000.0
AUS,snakk-media,Advertising,venture,5300000.0
AUS,snakk-media,Advertising,venture,6500000.0
AUS,societyone,Consumer Lending,venture,7611940.0
AUS,societyone,Consumer Lending,venture,21125510.0
AUS,somnomed,Medical Devices,venture,7000000.0
AUS,spondo,Advertising,venture,1030000.0
AUS,spring-me,Networking,venture,5000000.0
AUS,steam-engine,Cloud Computing,venture,7999999.0
AUS,stockspot,Finance,venture,969495.0
AUS,strategic-data-corp,Advertising,venture,5000000.0
AUS,styletread,Fashion,venture,12450000.0
AUS,suda,Biotechnology,venture,5600000.0
AUS,tapit,Advertising,venture,2300000.0
AUS,temando,Information Technology,venture,5000000.0
AUS,temando,Information Technology,venture,50000000.0
AUS,tgr-biosciences,Biotechnology,venture,2240000.0
AUS,the-iconic,Fashion,venture,26000000.0
AUS,the-iconic,Fashion,venture,46000000.0
AUS,the-new-daily,E-Commerce,venture,3000000.0
AUS,tiger-pistol,Advertising,venture,3100000.0
AUS,tokenone,Information Technology,venture,950252.0
AUS,tuned-global,Apps,venture,5100000.0
AUS,tushare,Consumer Goods,venture,2552216.0
AUS,tyro-payments,Banking,venture,72000000.0
AUS,universal-biosensors,Biotechnology,venture,985095.0
AUS,vaxxas,Biotechnology,venture,25000000.0
AUS,vaxxas,Biotechnology,venture,15000000.0
AUS,velpic,Professional Services,venture,3900000.0
AUS,virtual-gaming-worlds,Games,venture,2600000.0
AUS,webspy,Curated Web,venture,644000.0
AUS,windlab-systems,Clean Energy,venture,10000000.0
AUS,windlab-systems,Clean Energy,venture,4000000.0
AUS,wishlist-com-au,Online Shopping,venture,5300000.0
AUS,zipmoney-payments,Financial Services,venture,1000000.0
AUS,zookal,E-Commerce,venture,600000.0
AUS,zookal,E-Commerce,venture,1200000.0
NZL,adherium,Medical Devices,venture,3000000.0
NZL,bathurst-resources-limited,Energy,venture,7232048.0
NZL,crichq,Internet,venture,6000000.0
NZL,encoate,Biotechnology,venture,5100000.0
NZL,enprise-solutions,Software,venture,1000000.0
NZL,esphion,Security,venture,1370000.0
NZL,flick-electric,Retail,venture,4800000.0
NZL,gfg-group,Software,venture,167000000.0
NZL,gfg-group,Software,venture,10000000.0
NZL,gfg-group,Software,venture,3000000.0
NZL,harmoney,Financial Services,venture,10000000.0
NZL,international-telematics,Health Diagnostics,venture,2345000.0
NZL,khipu-systems,Software,venture,786000.0
NZL,kiwi-semiconductor,Semiconductors,venture,1340000.0
NZL,living-cell-technologies,Biotechnology,venture,637630.0
NZL,living-cell-technologies,Biotechnology,venture,5640573.0
NZL,mars-bioimaging,Biotechnology,venture,500000.0
NZL,mindscape,Software,venture,1400000.0
NZL,minimonos,Games,venture,550000.0
NZL,mywave,Consulting,venture,2136752.0
NZL,mywave,Consulting,venture,2561992.0
NZL,nbo-tv-network,News,venture,10000000.0
NZL,nbo-tv-network,News,venture,8000000.0
NZL,powerbyproxi,Mobile,venture,4000000.0
NZL,powerbyproxi,Mobile,venture,5000000.0
NZL,shuttlerock,Social Media Marketing,venture,2350000.0
NZL,shweeb,Public Transportation,venture,1000000.0
NZL,smx,Security,venture,1670000.0
NZL,solarcity-new-zealand-limited,Solar,venture,4391936.0
NZL,stolen-rum,Food Processing,venture,14000000.0
NZL,straker-translations,Local,venture,6000000.0
NZL,timely-limited,Cloud Computing,venture,1104452.0
NZL,trans-tasman-resources,Clean Technology,venture,11200000.0
NZL,unleashed-software,Software,venture,3500000.0
NZL,unleashed-software,Software,venture,4000000.0
NZL,unleashed-software,Software,venture,1000000.0
NZL,unleashed-software,Software,venture,1800000.0
NZL,vendhq,Enterprises,venture,6500000.0
NZL,vendhq,Enterprises,venture,2000000.0
NZL,vendhq,Enterprises,venture,20000000.0
NZL,vendhq,Enterprises,venture,1000000.0
NZL,vendhq,Enterprises,venture,8000000.0
NZL,vigil-monitoring,Health Care,venture,3800000.0
NZL,vigil-monitoring,Health Care,venture,3000000.0
NZL,xero,Accounting,venture,3000000.0
NZL,xero,Accounting,venture,20000000.0
